_id,newprod,plantid,prodlane,prodid,skuid,batchno,transdate,wcid,qty1,unit1,qty2,unit2
OP000001,1,M01,M0101,P001,SKU001,B001,2015-Jan-01 09:11:09,WC01,0.75211945,Hours,95,ea
OP000002,0,M01,M0101,P001,SKU001,B001,2015-Jan-02 01:54:17,WC02,0.885026366,Hours,95,ea
OP000003,0,M01,M0101,P001,SKU001,B001,2015-Jan-02 19:59:51,WC03,0.920318575,Hours,95,ea
OP000004,0,M01,M0101,P002,SKU083,B002,2015-Jan-01 13:09:43,WC04,0.420931725,Hours,95,ea
OP000005,1,M01,M0102,P003,SKU048,B003,2015-Jan-01 22:04:32,WC01,0.216570102,Hours,39,ea
OP000006,1,M01,M0103,P004,SKU051,B004,2015-Jan-01 12:34:45,WC01,0.568777371,Hours,58,ea
OP000007,0,M01,M0103,P005,SKU050,B005,2015-Jan-01 16:11:18,WC02,0.743978753,Hours,58,ea
OP000008,0,M01,M0103,P006,SKU063,B006,2015-Jan-01 02:48:23,WC03,0.963604789,Hours,58,ea
OP000009,1,M01,M0105,P007,SKU097,B007,2015-Jan-01 06:45:39,WC01,0.959950839,Hours,49,ea
OP000010,0,M01,M0105,P008,SKU017,B008,2015-Jan-01 23:55:14,WC02,0.928598916,Hours,49,ea
OP000011,0,M01,M0105,P009,SKU052,B009,2015-Jan-01 02:32:52,WC03,0.431431569,Hours,49,ea
OP000012,1,M02,M0203,P010,SKU041,B010,2015-Jan-01 05:26:31,WC01,0.297542948,Hours,1,ea
OP000013,0,M02,M0203,P011,SKU014,B011,2015-Jan-01 19:17:07,WC02,0.888612475,Hours,1,ea
OP000014,0,M02,M0203,P012,SKU092,B012,2015-Jan-01 18:28:35,WC03,0.471504398,Hours,1,ea
OP000015,0,M02,M0203,P013,SKU015,B013,2015-Jan-01 22:32:53,WC04,0.079146015,Hours,1,ea
OP000016,1,M02,M0202,P014,SKU056,B014,2015-Jan-01 12:47:39,WC01,0.673401446,Hours,27,ea
OP000017,1,M02,M0202,P015,SKU070,B015,2015-Jan-01 15:58:01,WC01,0.871823202,Hours,61,ea
OP000018,1,M01,M0103,P016,SKU078,B016,2015-Jan-01 02:43:39,WC01,0.623947625,Hours,96,ea
OP000019,0,M01,M0103,P017,SKU045,B017,2015-Jan-01 06:53:36,WC02,0.063948247,Hours,96,ea
OP000020,0,M01,M0103,P018,SKU082,B018,2015-Jan-01 12:04:18,WC03,0.48084374,Hours,96,ea
OP000021,1,M02,M0201,P019,SKU090,B019,2015-Jan-01 05:56:02,WC01,0.524848682,Hours,16,ea
OP000022,1,M02,M0204,P020,SKU055,B020,2015-Jan-01 17:29:59,WC01,0.294926153,Hours,31,ea
OP000023,0,M02,M0204,P021,SKU012,B021,2015-Jan-01 13:40:00,WC02,0.778613545,Hours,31,ea
OP000024,0,M02,M0204,P022,SKU025,B022,2015-Jan-01 08:04:46,WC03,0.554237781,Hours,31,ea
OP000025,1,M03,M0304,P023,SKU036,B023,2015-Jan-01 21:47:43,WC01,0.102011776,Hours,44,ea
